medication_id,name,generic_name,ndc,type,route,strength,frequency,manufacturer,cost_per_unit,is_pap_medication,pap_program,requires_prior_auth,max_monthly_quantity,side_effects,contraindications,is_active,created_at
MED1000,Kaiser-OncoX,OncoX Generic,79096-4576-68,Injection,Oral,277mg,Biweekly,Kaiser Pharma LLC,270.45,True,Kaiser PAP,False,3,Within impact seat world even.,Expert really just test assume generation real.,True,2022-05-20
MED1001,Kaiser-Diabeta,Diabeta Generic,32019-7437-86,Capsule,Topical,170mg,Daily,Kaiser Pharma Corp,109.36,True,Kaiser PAP,False,6,Work with office box perhaps step.,Enjoy hundred education author.,True,2021-09-03
MED1002,Kaiser-Cardio,Cardio Generic,96302-1371-64,Oral Solution,Oral,354mg,As needed,Kaiser Pharma LLC,362.83,True,Kaiser PAP,False,5,Small answer she we store simple.,Eight themselves understand authority career entire.,True,2021-09-09
MED1003,Kaiser-Respira,Respira Generic,31854-3881-43,Oral Solution,Inhaled,203mg,Weekly,Kaiser Pharma Corp,12.96,True,Kaiser PAP,False,12,Class show through turn myself.,Thus benefit woman herself conference traditional.,True,2023-07-14
MED1004,Kaiser-Neurolin,Neurolin Generic,24451-3268-92,Topical,Oral,98mg,As needed,Kaiser Pharma Inc,301.93,True,Kaiser PAP,False,10,Keep heart wish such.,Manager popular Democrat program however development those responsibility.,True,2024-07-06
MED1005,Kaiser-Immuno,Immuno Generic,16798-7451-35,Injection,Topical,314mg,Biweekly,Kaiser Pharma Corp,187.15,True,Kaiser PAP,True,1,Project say traditional town.,Mouth investment would entire.,True,2022-05-05
MED1006,Kaiser-OncoX,OncoX Generic,39182-7989-43,Topical,Oral,8mg,Weekly,Kaiser Pharma Corp,244.02,True,Kaiser PAP,True,2,Drive number keep.,Clearly save build price reality believe.,True,2023-07-26
MED1007,Kaiser-Diabeta,Diabeta Generic,50984-1575-65,Oral Solution,Inhaled,172mg,Biweekly,Kaiser Pharma Corp,82.77,True,Kaiser PAP,True,6,Statement miss possible commercial a nor.,Better consider current my.,True,2022-12-22
MED1008,Kaiser-Cardio,Cardio Generic,13555-7936-50,Topical,Oral,269mg,Weekly,Kaiser Pharma Corp,240.88,True,Kaiser PAP,True,3,Discuss prove whether dark.,Huge break worry common head.,True,2021-12-06
MED1009,Kaiser-Respira,Respira Generic,55978-1610-91,Capsule,Intravenous,63mg,Weekly,Kaiser Pharma Inc,271.4,True,Kaiser PAP,True,12,Those wish laugh feeling billion action argue tend.,Low how garden ability difficult factor.,True,2022-08-08
MED1010,Kaiser-Neurolin,Neurolin Generic,37297-2967-41,Topical,Subcutaneous,404mg,Biweekly,Kaiser Pharma Inc,37.67,True,Kaiser PAP,False,1,Condition piece some letter protect like forward piece.,Town memory who sense military finally perform.,True,2023-09-18
MED1011,Kaiser-Immuno,Immuno Generic,82868-5832-88,Oral Solution,Oral,319mg,Monthly,Kaiser Pharma Corp,382.3,True,Kaiser PAP,True,9,Ten when though close.,Wish life goal movement big.,True,2023-01-17
MED1012,Kaiser-OncoX,OncoX Generic,29961-9421-52,Tablet,Intravenous,157mg,Biweekly,Kaiser Pharma Corp,345.94,True,Kaiser PAP,True,6,Lawyer land concern her enter bag.,Player arrive theory marriage hospital.,True,2024-05-22
MED1013,Kaiser-Diabeta,Diabeta Generic,48949-6609-41,Capsule,Subcutaneous,456mg,Biweekly,Kaiser Pharma Corp,471.31,True,Kaiser PAP,True,9,Successful sound back role.,Lay mean paper television painting foot.,True,2021-12-22
MED1014,Kaiser-Cardio,Cardio Generic,42867-2868-95,Oral Solution,Inhaled,34mg,Biweekly,Kaiser Pharma LLC,472.04,True,Kaiser PAP,False,1,Heavy main turn who me often focus.,Probably business difficult great.,True,2023-01-22
MED1015,Kaiser-Respira,Respira Generic,13669-1820-94,Capsule,Oral,292mg,As needed,Kaiser Pharma Inc,383.12,True,Kaiser PAP,True,1,From both instead much.,Billion future old father piece up.,True,2022-05-06
MED1016,Kaiser-Neurolin,Neurolin Generic,37767-3435-81,Topical,Intravenous,271mg,As needed,Kaiser Pharma LLC,204.24,True,Kaiser PAP,True,10,Stay lay skill ago.,Station ask consider arrive culture response sell grow.,True,2023-10-26
MED1017,Kaiser-Immuno,Immuno Generic,99141-5825-27,Injection,Subcutaneous,270mg,Daily,Kaiser Pharma Inc,72.4,True,Kaiser PAP,False,5,Evening much actually north light even onto.,We art half now focus more.,True,2022-08-05
MED1018,Kaiser-OncoX,OncoX Generic,52555-9777-23,Topical,Topical,244mg,As needed,Kaiser Pharma Inc,64.54,True,Kaiser PAP,True,4,Be truth about certain couple.,Administration recent society develop treat inside billion.,True,2022-10-10
MED1019,Kaiser-Diabeta,Diabeta Generic,28998-8509-18,Oral Solution,Oral,366mg,Weekly,Kaiser Pharma Corp,498.72,True,Kaiser PAP,True,7,Director stop organization sure.,Follow send consider.,True,2023-05-30
MED1020,Kaiser-Cardio,Cardio Generic,59576-7917-86,Topical,Intravenous,309mg,As needed,Kaiser Pharma Corp,473.5,True,Kaiser PAP,False,5,Begin response create city right.,Whole else over discover wide ok look.,True,2023-09-06
MED1021,Kaiser-Respira,Respira Generic,77303-9874-32,Topical,Intravenous,303mg,Daily,Kaiser Pharma Corp,170.98,True,Kaiser PAP,True,8,Soldier once message.,Son teacher grow moment.,True,2022-02-11
MED1022,Kaiser-Neurolin,Neurolin Generic,55899-6838-41,Oral Solution,Intravenous,411mg,Monthly,Kaiser Pharma Corp,391.88,True,Kaiser PAP,False,8,Great level station budget agency bit tend.,Forward single or student letter.,True,2024-03-10
MED1023,Kaiser-Immuno,Immuno Generic,95552-9811-64,Tablet,Inhaled,264mg,Monthly,Kaiser Pharma Corp,107.81,True,Kaiser PAP,True,2,Civil black well where fish economy whole.,Per than face politics practice.,True,2025-08-25
MED1024,Kaiser-OncoX,OncoX Generic,88815-3639-51,Tablet,Inhaled,170mg,As needed,Kaiser Pharma Inc,113.73,True,Kaiser PAP,False,9,Will specific letter blue.,Station street financial citizen drop.,True,2024-11-05
